"Enfermedad","Año","Comunidad","Casos","Tasa notificacion","Hombres","Mujeres","Rango edad","Casos edad"
"chikungunya",2022,"Canarias",0,0,"","","",""
"chikungunya",2023,"Canarias",3,0.136,"","","",""
"chikungunya",2024,"Canarias",1,0.045,"","","",""
"chikungunya",2022,"Cantabria",0,0,"","","",""
"chikungunya",2023,"Cantabria",2,0.34,"","","",""
"chikungunya",2024,"Cantabria",0,0,"","","",""
"chikungunya",2022,"Castilla y Leon",0,0,"","","",""
"chikungunya",2023,"Castilla y Leon",3,0.126,"","","",""
"chikungunya",2024,"Castilla y Leon",0,0,"","","",""
"chikungunya",2022,"Castilla-La Mancha",0,0,"","","",""
"chikungunya",2023,"Castilla-La Mancha",1,0.048,"","","",""
"chikungunya",2024,"Castilla-La Mancha",0,0,"","","",""
"chikungunya",2022,"Cataluña",2,0.026,"","","",""
"chikungunya",2023,"Cataluña",48,0.607,"","","",""
"chikungunya",2024,"Cataluña",20,0.25,"","","",""
"chikungunya",2022,"C. Valenciana",2,0.039,"","","",""
"chikungunya",2023,"C. Valenciana",24,0.46,"","","",""
"chikungunya",2024,"C. Valenciana",7,0.132,"","","",""
"chikungunya",2022,"Extremadura",0,0,"","","",""
"chikungunya",2023,"Extremadura",0,0,"","","",""
"chikungunya",2024,"Extremadura",1,0.095,"","","",""
"chikungunya",2022,"Galicia",0,0,"","","",""
"chikungunya",2023,"Galicia",3,0.111,"","","",""
"chikungunya",2024,"Galicia",1,0.037,"","","",""
"chikungunya",2022,"Madrid",2,0.03,"","","",""
"chikungunya",2023,"Madrid",52,0.757,"","","",""
"chikungunya",2024,"Madrid",9,0.128,"","","",""
"chikungunya",2022,"Murcia",0,0,"","","",""
"chikungunya",2023,"Murcia",2,0.129,"","","",""
"chikungunya",2024,"Murcia",0,0,"","","",""
"chikungunya",2022,"Navarra",0,0,"","","",""
"chikungunya",2023,"Navarra",1,0.149,"","","",""
"chikungunya",2024,"Navarra",1,0.147,"","","",""
"chikungunya",2022,"País Vasco",1,0.045,"","","",""
"chikungunya",2023,"País Vasco",12,0.541,"","","",""
"chikungunya",2024,"País Vasco",3,0.135,"","","",""
"chikungunya",2022,"La Rioja",0,0,"","","",""
"chikungunya",2023,"La Rioja",0,0,"","","",""
"chikungunya",2024,"La Rioja",2,0.617,"","","",""
"chikungunya",2022,"Ceuta",0,0,"","","",""
"chikungunya",2023,"Ceuta",0,0,"","","",""
"chikungunya",2024,"Ceuta",0,0,"","","",""
"chikungunya",2022,"Melilla",0,0,"","","",""
"chikungunya",2023,"Melilla",0,0,"","","",""
"chikungunya",2024,"Melilla",0,0,"","","",""
